ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,20231117,3054.3655,3043.617,3055.8561,3033.7472,3050.9257,3.4398,0.1127,267606393.0,328568598.8
000001.SH,20231116,3050.9257,3066.8554,3071.4522,3050.9257,3072.8348,-21.9091,-0.713,271079460.0,329364382.7
000001.SH,20231115,3072.8348,3077.0291,3080.1284,3064.3464,3056.0703,16.7645,0.5486,304250107.0,389515978.0
000001.SH,20231114,3056.0703,3046.8171,3059.5294,3044.4259,3046.5329,9.5374,0.3131,294844733.0,358249840.2
000001.SH,20231113,3046.5329,3044.0319,3048.6209,3028.168,3038.9699,7.563,0.2489,290430588.0,344120017.2
000001.SH,20231110,3038.9699,3043.5585,3044.0007,3027.0878,3053.2792,-14.3093,-0.4687,285546497.0,346913084.5
000001.SH,20231109,3053.2792,3047.6532,3063.4674,3045.8336,3052.3726,0.9066,0.0297,315621764.0,388556747.1
000001.SH,20231108,3052.3726,3051.1531,3062.991,3037.2888,3057.2697,-4.8971,-0.1602,335677834.0,415289260.1
000001.SH,20231107,3057.2697,3052.9202,3064.5771,3042.4689,3058.4105,-1.1408,-0.0373,326853455.0,401065573.9
000001.SH,20231106,3058.4105,3047.1301,3058.9891,3037.6941,3030.7977,27.6128,0.9111,372949630.0,447638159.9
000001.SH,20231103,3030.7977,3012.4654,3040.9807,3012.4654,3009.4058,21.3919,0.7108,268486347.0,329300477.5
000001.SH,20231102,3009.4058,3028.6647,3038.6422,3009.121,3023.0765,-13.6707,-0.4522,268794581.0,311936400.8
000001.SH,20231101,3023.0765,3038.1821,3038.3303,3013.933,3018.7706,4.3059,0.1426,280110445.0,347121456.5
000001.SH,20231031,3018.7706,3019.646,3023.0014,3006.6088,3021.5534,-2.7828,-0.0921,319859967.0,386277226.4
000001.SH,20231030,3021.5534,3009.6104,3028.2641,3002.3477,3017.7842,3.7692,0.1249,360604238.0,439587974.8
000001.SH,20231027,3017.7842,2978.4026,3029.2101,2974.8802,2988.2992,29.485,0.9867,321803717.0,385692318.1
000001.SH,20231026,2988.2992,2960.1038,2990.3277,2956.006,2974.1135,14.1857,0.477,291814511.0,332258828.0
000001.SH,20231025,2974.1135,2986.4066,2993.2951,2972.4177,2962.2437,11.8698,0.4007,332392004.0,362846635.5
000001.SH,20231024,2962.2437,2944.3105,2964.7605,2929.0883,2939.2913,22.9524,0.7809,310985389.0,339902176.9
000001.SH,20231023,2939.2913,2969.7858,2973.6611,2923.5113,2983.0585,-43.7672,-1.4672,278904128.0,304028962.5
000001.SH,20231020,2983.0585,2995.3575,3006.2746,2977.1731,3005.3934,-22.3349,-0.7432,267113594.0,307388393.3
000001.SH,20231019,3005.3934,3043.1955,3043.1955,3004.7745,3058.7098,-53.3164,-1.7431,304038910.0,355069177.0
000001.SH,20231018,3058.7098,3076.5796,3076.5796,3057.0588,3083.4964,-24.7866,-0.8038,268647155.0,310306035.8
000001.SH,20231017,3083.4964,3076.4283,3084.0725,3064.8897,3073.813,9.6834,0.315,259019588.0,300026228.5
000001.SH,20231016,3073.813,3091.0647,3091.1257,3063.6856,3088.0991,-14.2861,-0.4626,263882363.0,314394203.0
000001.SH,20231013,3088.0991,3091.9972,3094.9153,3080.5481,3107.9007,-19.8016,-0.6371,255085235.0,309538085.3
